age,sex,height,weight,activity_level,total_steps,calories_burned,daily_calories_needed,fitness_score,prediction
48,Female,159,58,Sedentary,2013,101,1407,79,Yes
54,Male,152,57,Moderate,6652,333,1945,2,No
51,Female,184,54,Moderate,7578,379,1975,16,No
64,Female,189,64,Sedentary,2920,146,1608,93,Yes
21,Female,177,85,Moderate,7639,382,2620,24,No
50,Male,184,92,Active,9637,482,3148,72,Yes
36,Male,151,78,Sedentary,1844,92,1858,90,Yes
65,Male,185,57,Sedentary,2948,147,1688,86,Yes
53,Female,166,64,Sedentary,1024,51,1502,95,Yes
62,Female,155,64,Sedentary,1179,59,1365,26,No
22,Male,163,56,Moderate,7343,367,2284,45,No
61,Male,188,52,Moderate,8862,443,2162,76,Yes
65,Male,155,65,Active,10774,539,2240,92,Yes
52,Female,168,67,Moderate,8421,421,2013,62,No
64,Female,176,97,Very Active,13802,690,3019,84,Yes
49,Male,172,68,Light,4797,240,2083,5,No
59,Male,168,88,Active,9694,485,2829,47,No
37,Female,155,55,Moderate,7341,367,1818,11,No
59,Male,190,75,Sedentary,2511,126,1977,80,Yes
61,Male,164,87,Moderate,8457,423,2472,62,No
28,Male,171,100,Moderate,8310,416,2997,44,No
30,Female,154,59,Very Active,13521,676,2359,21,No
38,Female,181,95,Very Active,13587,679,3287,91,Yes
19,Female,163,68,Very Active,13738,687,2741,78,Yes
48,Female,163,53,Sedentary,2914,146,1377,83,Yes
32,Male,188,89,Active,9283,464,3295,83,Yes
39,Male,158,75,Light,5907,295,2128,24,No
40,Male,179,96,Moderate,8985,449,2920,70,Yes
51,Male,181,51,Active,11130,556,2400,10,No
63,Female,189,85,Moderate,8821,441,2411,13,No
31,Female,189,73,Moderate,6721,336,2473,29,No
45,Female,172,63,Sedentary,2191,110,1583,53,No
54,Female,177,69,Moderate,7913,396,2116,25,No
19,Male,155,51,Sedentary,2014,101,1666,15,No
42,Female,168,90,Sedentary,1799,90,1895,1,No
44,Female,159,71,Very Active,14975,749,2513,30,No
56,Female,184,57,Sedentary,1301,65,1535,48,No
28,Female,187,72,Moderate,8491,425,2461,67,No
38,Female,157,69,Active,9602,480,2277,46,No
63,Female,153,65,Light,4062,203,1554,23,No
40,Female,184,67,Moderate,8733,437,2261,12,No
56,Female,181,65,Light,5211,261,1843,41,No
19,Male,160,55,Moderate,6207,310,2263,92,Yes
33,Male,174,77,Sedentary,1829,91,2037,1,No
44,Female,173,81,Active,10014,501,2605,32,No
43,Female,190,100,Sedentary,1687,84,2174,94,Yes
57,Female,159,60,Light,4110,206,1578,88,Yes
54,Female,171,70,Light,3798,190,1839,88,Yes
25,Female,185,91,Light,4594,230,2448,7,No
36,Female,152,65,Sedentary,2703,135,1511,47,No
18,Male,161,90,Sedentary,2613,131,2186,77,Yes
39,Female,169,56,Light,5296,265,1733,26,No
36,Female,156,67,Active,9437,472,2249,89,Yes
29,Male,153,88,Active,10408,520,2926,76,Yes
24,Male,171,54,Active,9293,465,2577,4,No
46,Male,189,86,Light,3959,198,2497,47,No
55,Male,186,91,Sedentary,1719,86,2163,89,Yes
65,Male,172,81,Light,3636,182,2152,43,No
51,Female,183,85,Moderate,8546,427,2446,45,No
51,Male,166,89,Very Active,13138,657,3187,31,No
24,Male,186,52,Very Active,13093,655,2978,99,Yes
45,Female,170,58,Light,4886,244,1728,89,Yes
50,Male,160,85,Light,4453,223,2207,41,No
19,Male,167,62,Moderate,6621,331,2439,94,Yes
41,Male,190,51,Active,10587,529,2583,40,No
37,Male,178,64,Very Active,14677,734,2988,99,Yes
62,Female,189,75,Very Active,14405,720,2774,62,No
50,Female,170,88,Sedentary,2976,149,1838,33,No
30,Male,183,99,Moderate,8377,419,3083,1,No
45,Female,160,50,Very Active,14376,719,2117,86,Yes
54,Male,153,57,Sedentary,2429,121,1514,98,Yes
18,Male,172,60,Sedentary,2622,131,1908,1,No
21,Female,175,77,Moderate,8316,416,2477,31,No
56,Female,172,90,Very Active,13060,653,2915,73,Yes
32,Male,168,86,Moderate,8003,400,2720,97,Yes
28,Male,171,98,Very Active,12703,635,3636,23,No
55,Male,155,74,Moderate,8371,419,2230,47,No
27,Male,179,90,Light,3224,161,2597,35,No
21,Female,157,95,Active,11177,559,2873,33,No
49,Female,164,82,Sedentary,2976,149,1727,2,No
52,Female,181,83,Active,10768,538,2657,29,No
55,Female,166,76,Sedentary,1956,98,1634,9,No
55,Male,164,68,Very Active,14738,737,2726,78,Yes
60,Female,158,93,Active,11214,561,2512,87,Yes
53,Female,178,67,Active,11200,560,2340,0,No
47,Male,170,90,Sedentary,1220,61,2079,96,Yes
26,Male,170,100,Moderate,7640,382,3003,94,Yes
53,Female,153,51,Light,4388,219,1430,27,No
20,Female,161,58,Moderate,7230,362,2054,74,Yes
58,Male,173,77,Sedentary,2065,103,1880,56,No
22,Female,174,60,Very Active,12673,634,2691,10,No
33,Male,154,57,Sedentary,2587,129,1647,69,No
33,Female,180,66,Sedentary,2085,104,1751,48,No
56,Female,184,76,Moderate,7240,362,2277,45,No
31,Female,184,62,Light,4614,231,1999,24,No
26,Male,185,100,Moderate,7022,351,3148,64,No
37,Female,173,82,Active,11193,560,2683,28,No
56,Female,185,64,Very Active,12460,623,2575,91,Yes
41,Male,190,65,Active,9705,485,2825,27,No
34,Female,177,87,Active,9652,483,2838,54,No
53,Male,155,79,Very Active,14187,709,2848,73,Yes
29,Male,158,74,Very Active,14281,714,3016,2,No
42,Male,174,97,Light,5764,288,2547,72,Yes
25,Female,183,67,Sedentary,2451,123,1833,16,No
24,Female,160,69,Very Active,14944,747,2677,23,No
57,Male,157,70,Sedentary,1536,77,1682,57,No
30,Male,174,99,Moderate,7848,392,2995,96,Yes
41,Female,156,84,Very Active,13725,686,2753,65,No
24,Female,178,76,Active,9143,457,2745,84,Yes
43,Female,165,57,Active,10688,534,2114,40,No
60,Female,162,83,Active,9580,479,2383,48,No
60,Male,157,91,Active,11004,550,2754,41,No
44,Female,179,68,Moderate,6340,317,2198,98,Yes
41,Male,173,98,Sedentary,2305,115,2234,27,No
48,Female,186,68,Very Active,13083,654,2739,63,No
27,Female,169,91,Moderate,8428,421,2589,46,No
19,Female,161,52,Very Active,12493,625,2413,78,Yes
57,Male,170,52,Light,4895,245,1791,66,No
37,Female,160,60,Active,10576,529,2163,20,No
56,Male,152,78,Active,10043,502,2510,99,Yes
57,Female,153,60,Sedentary,1499,75,1332,84,Yes
27,Female,182,83,Very Active,13511,676,3176,91,Yes
21,Female,168,81,Sedentary,2752,138,1913,45,No
42,Male,164,84,Very Active,12678,634,3154,49,No
39,Female,185,89,Very Active,14661,733,3211,38,No
57,Female,178,55,Sedentary,2645,132,1460,76,Yes
20,Male,170,96,Sedentary,1285,64,2313,86,Yes
51,Female,172,76,Light,4971,249,1951,42,No
46,Male,161,92,Light,5385,269,2339,34,No
26,Male,176,72,Active,11009,550,2924,63,No
23,Male,177,82,Light,5499,275,2497,33,No
45,Male,159,86,Very Active,12658,633,3104,92,Yes
53,Female,154,91,Active,9818,491,2495,1,No
19,Male,172,57,Light,4170,208,2138,47,No
43,Female,159,80,Moderate,7477,374,2198,24,No
39,Female,179,54,Sedentary,2983,149,1563,24,No
23,Female,185,99,Very Active,12609,630,3553,11,No
24,Male,188,99,Active,9160,458,3536,54,No
33,Female,184,59,Moderate,7631,382,2192,2,No
65,Male,182,98,Moderate,8341,417,2786,55,No
52,Male,181,70,Sedentary,2662,133,1892,73,Yes
20,Male,158,89,Sedentary,2759,138,2139,99,Yes
35,Male,160,95,Moderate,8221,411,2759,13,No
23,Male,172,81,Light,3893,195,2441,63,No
63,Female,163,83,Active,11745,587,2368,96,Yes
63,Male,181,88,Sedentary,2578,129,2042,94,Yes
23,Female,169,65,Sedentary,2505,125,1716,90,Yes
52,Male,165,94,Sedentary,2056,103,2060,88,Yes
28,Male,182,99,Sedentary,2414,121,2391,35,No
64,Male,174,72,Active,9636,482,2575,55,No
20,Male,185,56,Active,10766,538,2797,12,No
57,Female,175,99,Active,10674,534,2825,64,No
58,Male,156,82,Moderate,7463,373,2340,85,Yes
39,Male,187,63,Very Active,12839,642,3057,37,No
64,Male,157,92,Light,3468,173,2181,2,No
60,Male,158,72,Moderate,8845,442,2189,77,Yes
18,Male,151,56,Light,5910,296,1951,36,No
62,Female,173,55,Light,3358,168,1595,51,No
40,Female,150,58,Moderate,6067,303,1793,54,No
65,Male,175,85,Moderate,6312,316,2517,35,No
30,Male,150,66,Sedentary,1232,62,1743,46,No
31,Male,183,78,Active,10117,506,3060,98,Yes
63,Female,169,73,Active,11502,575,2260,90,Yes
29,Female,169,90,Sedentary,2501,125,1980,69,No
42,Female,165,98,Active,10440,522,2829,62,No
25,Male,190,87,Moderate,7932,397,3003,9,No
27,Male,189,87,Light,5168,258,2642,39,No
59,Female,161,74,Moderate,7980,399,2000,58,No
23,Female,156,72,Very Active,13040,652,2696,42,No
18,Female,179,65,Sedentary,1720,86,1821,80,Yes
57,Male,188,94,Very Active,13082,654,3486,6,No
52,Male,165,73,Light,3080,154,2071,80,Yes
33,Female,190,69,Active,9048,452,2676,1,No
28,Male,182,76,Light,3246,162,2423,49,No
20,Female,169,62,Light,4523,226,1946,48,No
51,Male,163,58,Light,3146,157,1855,33,No
62,Male,156,52,Light,3970,198,1636,82,Yes
28,Male,161,60,Sedentary,1835,92,1766,43,No
64,Male,164,54,Moderate,8334,417,1938,40,No
49,Male,190,53,Moderate,8140,407,2290,96,Yes
38,Female,160,54,Sedentary,2827,141,1427,83,Yes
65,Male,164,94,Very Active,13649,682,3126,42,No
62,Male,157,88,Sedentary,2583,129,1868,32,No
57,Female,179,52,Moderate,7132,357,1849,17,No
31,Female,182,89,Sedentary,2675,134,2054,50,No
44,Male,171,59,Very Active,12591,630,2743,25,No
32,Female,167,91,Sedentary,2030,102,1959,85,Yes
63,Female,176,57,Sedentary,2525,126,1433,90,Yes
55,Female,154,67,Moderate,6851,343,1855,6,No
61,Female,173,65,Active,10397,520,2183,67,No
51,Male,159,63,Sedentary,2816,141,1648,42,No
20,Female,168,79,Very Active,12882,644,3000,42,No
37,Female,175,75,Very Active,14215,711,2846,88,Yes
44,Female,153,66,Light,5257,263,1698,68,No
28,Female,186,66,Active,9181,459,2625,41,No
48,Female,171,77,Moderate,6452,323,2229,98,Yes
35,Female,173,69,Sedentary,2236,112,1722,42,No
53,Female,170,96,Moderate,6950,348,2475,5,No
65,Male,160,54,Very Active,14851,743,2318,43,No
32,Female,189,59,Very Active,12736,637,2755,53,No
37,Male,157,75,Sedentary,2983,149,1862,39,No
26,Male,160,55,Sedentary,1103,55,1710,58,No
55,Female,166,65,Active,11462,573,2159,36,No
46,Female,168,82,Sedentary,2824,141,1775,86,Yes
19,Female,151,56,Very Active,12682,634,2371,92,Yes
54,Male,178,79,Very Active,13260,663,3111,52,No
52,Male,174,60,Active,11170,558,2471,14,No
21,Female,178,63,Light,3821,191,2030,40,No
51,Male,160,61,Moderate,8831,442,2108,67,No
43,Female,167,91,Active,9435,472,2722,3,No
55,Male,164,78,Very Active,14295,715,2916,3,No
40,Female,174,51,Active,9102,455,2133,21,No
26,Female,160,88,Sedentary,1703,85,1907,9,No
36,Female,174,64,Active,11836,592,2392,61,No
19,Male,185,70,Moderate,8869,443,2738,42,No
19,Male,172,73,Light,3313,166,2358,22,No
42,Male,173,94,Sedentary,2621,131,2180,24,No
57,Male,184,83,Sedentary,1205,60,2040,0,No
45,Female,169,76,Sedentary,1786,89,1716,56,No
45,Female,164,50,Very Active,13670,684,2164,28,No
26,Male,168,60,Sedentary,1404,70,1830,69,No
40,Male,167,68,Moderate,8174,409,2370,100,Yes
32,Female,166,79,Sedentary,1766,88,1808,7,No
32,Female,160,100,Sedentary,1558,78,2015,97,Yes
57,Male,188,64,Sedentary,1174,59,1842,59,No
26,Male,156,64,Very Active,13707,685,2831,58,No
19,Female,154,81,Light,5200,260,2085,32,No
40,Male,188,82,Very Active,12515,626,3420,42,No
21,Male,165,72,Sedentary,1204,60,1982,83,Yes
49,Female,157,78,Active,10998,550,2338,45,No
64,Female,154,92,Light,4339,217,1927,58,No
20,Female,150,68,Sedentary,2741,137,1628,5,No
62,Female,175,89,Sedentary,1976,99,1815,99,Yes
56,Male,164,71,Very Active,12986,649,2774,50,No
47,Male,154,77,Active,11233,562,2592,28,No
57,Male,185,65,Sedentary,1065,53,1832,80,Yes
65,Female,174,91,Active,11936,597,2607,4,No
64,Female,158,93,Light,4633,232,1975,75,Yes
58,Female,163,68,Moderate,6597,330,1934,48,No
31,Female,171,70,Sedentary,1851,93,1743,10,No
27,Female,152,72,Light,3586,179,1889,67,No
52,Female,162,90,Light,4645,232,2051,51,No
40,Male,156,82,Light,5215,261,2200,80,Yes
37,Female,159,71,Active,11544,577,2342,73,Yes
53,Female,153,51,Very Active,12986,649,1976,98,Yes
43,Male,155,75,Active,11153,558,2603,45,No
21,Female,155,50,Moderate,6889,344,1864,26,No
56,Male,167,96,Sedentary,1577,79,2074,63,No
65,Male,154,87,Light,3554,178,2080,61,No
40,Male,189,55,Active,11232,562,2650,31,No
27,Female,166,97,Active,11729,586,2952,52,No
62,Male,152,68,Active,10157,508,2286,100,Yes
19,Male,150,78,Active,9331,467,2807,61,No
53,Male,168,97,Moderate,8569,428,2728,51,No
65,Female,171,65,Sedentary,1538,77,1479,75,Yes
25,Female,190,60,Active,11719,586,2590,72,Yes
42,Male,163,55,Active,10834,542,2352,40,No
38,Female,154,68,Sedentary,1303,65,1550,5,No
59,Male,189,52,Very Active,14542,727,2681,98,Yes
64,Male,180,54,Light,3694,185,1856,61,No
60,Female,188,97,Active,10124,506,2905,35,No
64,Male,150,60,Sedentary,2254,113,1467,36,No
23,Male,164,53,Sedentary,2429,121,1734,38,No
45,Female,157,99,Moderate,7448,372,2457,50,No
51,Male,169,93,Sedentary,2897,145,2084,93,Yes
56,Male,153,55,Moderate,8558,428,1908,37,No
60,Male,184,66,Very Active,13469,673,2878,73,Yes
29,Male,163,50,Active,11359,568,2378,98,Yes
39,Female,169,85,Light,4162,208,2132,62,No
61,Female,169,51,Very Active,14609,730,2090,6,No
59,Male,176,63,Very Active,14182,709,2736,72,Yes
21,Female,150,99,Moderate,7786,389,2575,76,Yes
58,Female,156,69,Very Active,12302,615,2307,16,No
51,Female,179,69,Sedentary,2588,129,1671,25,No
19,Female,184,76,Active,9084,454,2853,89,Yes
60,Female,168,70,Sedentary,2643,132,1547,99,Yes
36,Female,153,100,Moderate,7862,393,2504,26,No
51,Female,176,77,Sedentary,1332,67,1745,18,No
43,Female,168,87,Active,10852,543,2663,58,No
34,Male,158,73,Moderate,7369,368,2406,87,Yes
31,Female,189,51,Active,10896,545,2372,62,No
27,Male,181,87,Active,11750,588,3228,54,No
20,Female,176,63,Sedentary,1045,52,1763,55,No
41,Female,162,67,Moderate,7110,356,2041,44,No
29,Male,175,71,Moderate,8779,439,2579,99,Yes
55,Female,190,77,Light,3541,177,2092,33,No
18,Male,171,86,Sedentary,1935,97,2212,86,Yes
40,Female,164,74,Very Active,13300,665,2668,24,No
54,Male,186,96,Sedentary,1947,97,2229,1,No
36,Female,162,59,Active,11686,584,2176,44,No
38,Male,150,87,Light,5960,298,2231,96,Yes
47,Male,161,95,Light,4063,203,2374,100,Yes
45,Female,167,79,Light,3055,153,1991,31,No
51,Female,152,99,Active,10651,533,2629,50,No
32,Female,151,67,Active,10716,536,2230,35,No
55,Male,171,69,Very Active,12183,609,2829,16,No
58,Male,157,97,Moderate,8923,446,2583,55,No
29,Male,159,59,Sedentary,2522,126,1732,41,No
61,Male,173,52,Very Active,14689,734,2472,12,No
57,Female,178,99,Light,5517,276,2278,91,Yes
37,Female,172,63,Light,5504,275,1869,15,No
21,Male,165,91,Light,4111,206,2532,2,No
27,Female,157,52,Active,11298,565,2079,56,No
50,Male,190,98,Light,5230,262,2643,73,Yes
35,Male,163,73,Very Active,13004,650,3000,29,No
25,Male,150,67,Active,10833,542,2566,29,No
37,Female,155,100,Light,5543,277,2231,11,No
60,Female,184,53,Moderate,7641,382,1889,73,Yes
53,Female,182,57,Active,10117,506,2211,31,No
58,Female,168,70,Light,5206,260,1786,52,No
41,Female,176,99,Sedentary,1495,75,2069,70,Yes
29,Female,152,79,Light,5865,293,1972,23,No
46,Male,180,95,Sedentary,2109,105,2220,69,No
56,Male,167,96,Sedentary,1227,61,2074,11,No
63,Male,170,77,Very Active,13882,694,2893,45,No
37,Female,158,82,Very Active,12971,649,2777,35,No
60,Male,155,99,Active,10423,521,2870,89,Yes
39,Male,157,79,Very Active,13915,696,3004,24,No
19,Male,184,59,Moderate,6204,310,2558,64,No
48,Male,164,78,Light,5562,278,2159,83,Yes
36,Male,166,67,Sedentary,2085,104,1839,39,No
35,Male,162,100,Active,10308,515,3178,36,No
30,Male,165,65,Light,4530,226,2112,48,No
21,Male,164,87,Sedentary,1747,87,2154,46,No
30,Male,172,99,Sedentary,1906,95,2304,8,No
37,Male,165,61,Light,5649,282,2009,95,Yes
48,Male,152,54,Sedentary,2241,112,1506,70,Yes
36,Male,184,82,Moderate,8358,418,2782,10,No
40,Female,158,96,Very Active,12459,623,3014,23,No
60,Male,187,86,Light,4169,208,2384,65,No
48,Male,170,70,Very Active,13534,677,2902,62,No
58,Male,161,86,Sedentary,1746,87,1898,3,No
41,Female,176,79,Active,11840,592,2629,69,No
56,Female,190,90,Very Active,13404,670,3128,35,No
43,Female,150,98,Sedentary,1065,53,1850,61,No
26,Female,183,70,Very Active,13681,684,2950,2,No
64,Male,178,69,Very Active,12327,616,2826,11,No
42,Male,183,54,Very Active,13177,659,2810,14,No
32,Female,152,95,Very Active,12170,608,3000,78,Yes
20,Male,176,57,Light,4691,235,2166,30,No
38,Male,166,98,Very Active,13331,667,3482,38,No
40,Female,176,90,Moderate,7753,388,2540,91,Yes
42,Female,184,55,Very Active,14216,711,2525,92,Yes
55,Male,164,77,Moderate,7241,362,2364,64,No
37,Male,167,84,Very Active,12455,623,3237,38,No
64,Male,157,88,Very Active,12490,624,2938,71,Yes
46,Male,181,75,Very Active,12812,641,3147,50,No
19,Female,187,60,Moderate,7989,399,2345,14,No
29,Male,163,89,Very Active,13516,676,3361,45,No
65,Male,158,72,Sedentary,1163,58,1665,84,Yes
40,Male,156,89,Very Active,13427,671,3173,6,No
34,Male,155,78,Moderate,7741,387,2455,81,Yes
19,Male,160,68,Active,9369,468,2743,27,No
48,Female,167,93,Light,4782,239,2163,32,No
27,Male,170,87,Moderate,6917,346,2794,88,Yes
28,Male,186,61,Very Active,13117,656,3111,12,No
31,Male,167,60,Moderate,7921,396,2315,18,No
30,Male,161,92,Active,9833,492,3073,8,No
41,Male,169,79,Very Active,13880,694,3128,7,No
26,Male,151,80,Sedentary,1856,93,1942,97,Yes
21,Male,169,69,Sedentary,2377,119,1976,20,No
46,Female,158,56,Moderate,8883,444,1793,23,No
63,Male,162,68,Light,3226,161,1901,3,No
51,Male,187,83,Moderate,8739,437,2711,12,No
47,Female,184,58,Sedentary,2935,147,1601,18,No
63,Female,152,95,Moderate,7413,371,2207,13,No
46,Male,154,52,Light,5273,264,1729,21,No
29,Female,188,86,Sedentary,2862,143,2075,45,No
65,Female,176,61,Light,5958,298,1683,12,No
25,Male,177,68,Very Active,12110,606,3166,34,No
64,Male,152,91,Light,3057,153,2124,96,Yes
32,Female,186,95,Sedentary,1440,72,2150,45,No
21,Female,184,75,Active,11345,567,2819,53,No
54,Male,158,62,Sedentary,2970,148,1611,86,Yes
25,Female,168,65,Sedentary,1326,66,1697,9,No
24,Male,187,60,Moderate,7892,395,2563,45,No
30,Male,159,77,Light,5083,254,2226,42,No
53,Female,151,51,Very Active,12672,634,1953,46,No
33,Female,165,56,Very Active,12783,639,2404,79,Yes
27,Female,165,80,Active,10443,522,2648,55,No
33,Female,159,55,Very Active,13063,653,2314,60,No
45,Male,179,64,Light,4802,240,2116,1,No
38,Male,184,54,Active,10366,518,2596,28,No
32,Male,164,66,Sedentary,1548,77,1836,20,No
34,Female,167,100,Active,11026,551,2954,56,No
47,Female,172,69,Moderate,8077,404,2122,61,No
25,Male,179,57,Moderate,8519,426,2432,57,No
59,Male,174,57,Light,5724,286,1880,81,Yes
43,Male,171,96,Sedentary,1440,72,2182,58,No
45,Male,169,59,Active,9429,471,2460,13,No
36,Female,160,83,Active,9689,484,2569,79,Yes
44,Female,170,56,Active,10377,519,2142,92,Yes
58,Male,173,70,Sedentary,2090,104,1796,25,No
22,Male,185,67,Light,4986,249,2367,2,No
26,Male,162,94,Sedentary,1498,75,2193,96,Yes
48,Female,174,53,Very Active,12790,640,2311,27,No
40,Male,165,98,Light,3293,165,2497,85,Yes
29,Female,165,92,Light,5976,299,2262,83,Yes
31,Male,188,75,Active,10335,517,3062,30,No
28,Female,181,67,Sedentary,2301,115,1800,52,No
45,Female,186,93,Moderate,6293,315,2645,84,Yes
25,Male,172,78,Moderate,6709,335,2689,90,Yes
38,Female,173,91,Active,9681,484,2829,51,No
60,Female,186,68,Sedentary,1530,76,1658,61,No
46,Male,179,86,Light,3599,180,2411,49,No
46,Male,154,71,Very Active,13642,682,2750,85,Yes
54,Male,167,57,Moderate,8379,419,2091,4,No
36,Female,175,97,Sedentary,1668,83,2067,72,Yes
62,Female,178,69,Sedentary,2176,109,1598,88,Yes
39,Female,152,60,Moderate,7438,372,1851,61,No
63,Female,172,70,Moderate,7609,380,2013,17,No
31,Female,172,62,Moderate,7994,400,2137,22,No
59,Male,159,57,Active,9834,492,2197,13,No
25,Male,151,62,Very Active,12575,629,2743,27,No
24,Female,159,56,Sedentary,1674,84,1527,38,No
39,Male,169,98,Active,9824,491,3185,91,Yes
27,Male,190,84,Moderate,8556,428,2941,72,Yes
58,Female,168,59,Light,4295,215,1635,34,No
34,Male,186,65,Very Active,13656,683,3130,20,No
18,Male,173,89,Active,11373,569,3254,58,No
33,Male,152,58,Active,9814,491,2363,11,No
35,Female,170,71,Moderate,6090,304,2227,37,No
27,Male,156,62,Light,5490,274,2014,21,No
44,Male,170,60,Moderate,6277,314,2244,23,No
43,Female,170,51,Active,11676,584,2064,9,No
64,Female,189,62,Sedentary,1380,69,1584,78,Yes
19,Female,184,64,Light,5428,271,2109,18,No
58,Female,157,77,Active,11525,576,2243,97,Yes
28,Female,179,59,Moderate,7794,390,2182,10,No
18,Female,173,76,Very Active,13380,669,3021,4,No
37,Female,161,78,Moderate,7412,371,2232,68,No
65,Female,152,94,Active,10847,542,2422,2,No
45,Male,156,83,Moderate,7255,363,2457,83,Yes
35,Female,154,70,Light,4407,220,1824,63,No
37,Female,189,64,Very Active,13515,676,2803,63,No
41,Female,176,94,Moderate,8576,429,2595,15,No
33,Female,175,80,Light,5452,273,2156,5,No
35,Female,168,92,Moderate,8058,403,2533,45,No
62,Female,165,60,Light,4944,247,1595,9,No
62,Female,185,82,Very Active,13214,661,2860,41,No
50,Female,180,87,Sedentary,2850,142,1901,15,No
55,Male,185,53,Sedentary,2490,124,1700,91,Yes
27,Female,165,84,Moderate,8584,429,2442,36,No
52,Male,185,71,Moderate,8434,422,2497,10,No
28,Male,152,79,Very Active,14449,722,3050,99,Yes
49,Female,176,87,Very Active,14491,725,2972,20,No
23,Female,157,53,Active,11291,565,2131,66,No
47,Male,186,86,Very Active,12774,639,3406,56,No
51,Female,179,62,Light,5876,294,1819,38,No
46,Female,176,79,Light,3612,181,2061,92,Yes
40,Male,179,55,Sedentary,1863,93,1768,46,No
55,Female,186,58,Active,10411,521,2254,68,No
43,Female,175,72,Light,5533,277,1977,4,No
33,Female,176,89,Active,9453,473,2870,83,Yes
53,Male,161,56,Active,10946,547,2253,13,No
63,Male,162,86,Very Active,14769,738,2969,98,Yes
46,Male,156,88,Sedentary,2698,135,1956,45,No
34,Male,171,85,Sedentary,2897,145,2104,69,No
38,Male,168,100,Light,4054,203,2564,59,No
21,Male,164,80,Very Active,12767,638,3278,41,No
35,Female,168,65,Active,9118,456,2353,85,Yes
60,Male,158,80,Very Active,13404,670,2836,51,No
44,Female,156,98,Very Active,13022,651,2991,53,No
21,Male,175,85,Very Active,12159,608,3503,61,No
48,Male,151,71,Sedentary,1595,80,1702,8,No
29,Female,153,51,Very Active,14497,725,2204,42,No
44,Male,173,51,Very Active,12623,631,2615,89,Yes
